# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 3442885744
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                         IPC   [IPC Coverage]
# ........  ...............  ...............................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.29%  tokio-rt-worker  [vdso]                           [.] __vdso_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.29%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::assembler::Assembler>::insert                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.29%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aead_aes_gcm_open_gather(evp_aead_ctx_st const*, unsigned char*, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long)                                                                                                                                                                                                                                       -      -
     0.29%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aead_aes_gcm_open_gather_impl((anonymous namespace)::aead_aes_gcm_ctx const*, unsigned char*, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned char const*, unsigned long, unsigned long)                                                                                                                                                                                           -      -
     0.29%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] mi_page_thread_collect_to_local                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.29%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] mi_theap_malloc_aligned_at                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.23%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::raw_vec::RawVecInner>::deallocate                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.23%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic::NoGsoUdpSocket as quinn::runtime::AsyncUdpSocket>::poll_recv                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.23%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <honk_outbound::quic_boring::BoringHeaderKey as quinn_proto::crypto::HeaderKey>::decrypt                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.23%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] bytes::bytes_mut::shared_v_drop                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.23%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] sendto                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.23%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::context::budget::<core::task::poll::Poll<tokio::task::coop::RestoreOnPending>, tokio::task::coop::poll_proceed::{closure#0}>                                                                                                                                                                                                                                                                                                               -      -


#
# (Tip: Search options using a keyword: perf report -h <keyword>)
#
