# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 924  of event 'cpu-clock:u'
# Event count (approx.): 1851703392
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ...............  ...............................  ...............................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::space_can_send                                                                                                                                                                                                                                                                                                                        -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::packet_builder::PacketBuilder>::finish_and_track                                                                                                                                                                                                                                                                                                   -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::paths::RttEstimator>::pto_base                                                                                                                                                                                                                                                                                                                     -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::streams::recv::Chunks>::finalize_inner                                                                                                                                                                                                                                                                                                             -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::io::registration::Registration>::poll_ready                                                                                                                                                                                                                                                                                                                 -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::io::scheduled_io::ScheduledIo>::wake                                                                                                                                                                                                                                                                                                                        -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::sync::mpsc::list::Tx<quinn::ConnectionEvent>>::find_block                                                                                                                                                                                                                                                                                                            -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::sync::task::atomic_waker::AtomicWaker>::register_by_ref                                                                                                                                                                                                                                                                                                              -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_aad                                                                                                                                                                                                                                                                                                                                                            -      -
     0.32%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] core::ptr::drop_glue::<tracing::span::Span>                                                                                                                                                                                                                                                                                                                                  -      -
