# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 4651302568
#
# Overhead  Command          Shared Object                    Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ...............  ...............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.39%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_finish                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::loss_time_and_space                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::predict_1rtt_overhead                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::Connection>::reset_keep_alive                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::paths::RttEstimator>::pto_base                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::scheduler::multi_thread::queue::Local<alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>>::push_back_or_overflow::<tokio::runtime::scheduler::multi_thread::handle::Handle>                                                                                                                                                                                                                                                                                   -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] CRYPTO_gcm128_aad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.34%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] mi_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.30%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::binary_heap::BinaryHeap<quinn_proto::connection::streams::PendingStream>>::push                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.30%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <parking_lot::condvar::Condvar>::wait_until_internal                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.30%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::process::imp::GlobalOrphanQueue>::reap_orphans                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.30%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] aes::x86::ni::encdec::encrypt::<11>                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.30%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] tokio::runtime::task::raw::poll::<core::pin::Pin<alloc::boxed::Box<dyn core::future::future::Future<Output = ()> + core::marker::Send>>, alloc::sync::Arc<tokio::runtime::scheduler::multi_thread::handle::Handle>>                                                                                                                                                                                                                                                                                    -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::btree::map::BTreeMap<u64, u64>>::remove_entry::<u64>                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::btree::navigate::LeafRange<alloc::collections::btree::node::marker::Immut, u64, quinn_proto::connection::spaces::SentPacket>>::perform_next_checked::<<alloc::collections::btree::navigate::LeafRange<alloc::collections::btree::node::marker::Immut, u64, quinn_proto::connection::spaces::SentPacket>>::next_checked::{closure#0}, (&u64, &quinn_proto::connection::spaces::SentPacket)>                                                                                        -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Immut, u64, u64, alloc::collections::btree::node::marker::LeafOrInternal>>::find_lower_bound_index::<u64>                                                                                                                                                                                                                                                                                                           -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::connection::spaces::Retransmits>::is_empty                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::Header>::encode                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <quinn_proto::packet::PacketNumber>::encode::<alloc::vec::Vec<u8>>                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.26%  tokio-rt-worker  honk-quic-profile2-429c540-musl  [.] <tokio::runtime::scheduler::multi_thread::worker::Core>::maintenance                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
